"it_algo","diff_f","diff_g","error_in","error_out","max_diff_flow","couple_1","couple_2"
80,1.6987370120158e-06,5.842304997784e-07,2.09626888199989e-07,4.98651116403707e-07,6.42676603620066,1035,876
81,1.66130888399183e-06,5.62228642861674e-07,1.97821083664031e-07,4.89717610927992e-07,6.36267431213639,1035,876
82,1.62815312951222e-06,5.42888380180018e-07,1.87527868948251e-07,4.8145211349686e-07,6.29984780562097,1035,876
83,1.59921397139344e-06,5.25899543002101e-07,1.78551350330889e-07,4.73785854290959e-07,6.23824939961105,1035,876
84,1.57366588355244e-06,5.10926373224489e-07,1.70719003866279e-07,4.66653492393986e-07,6.17784341669255,1035,876
85,1.55134813080306e-06,4.97703479617226e-07,1.63878879096337e-07,4.6001091185518e-07,6.11859555161766,1035,876
86,1.53231574469116e-06,4.86006029930345e-07,1.57908079213301e-07,4.53775785043885e-07,6.06047277414928,1035,876
87,1.51553533539476e-06,4.75652702292612e-07,1.52686745414994e-07,4.47904135497032e-07,6.00344335368436,1035,876
88,1.50099232945349e-06,4.66458546541053e-07,1.48104197243649e-07,4.423562611327e-07,5.94747673956965,1035,876
89,1.48800346118232e-06,4.58263933974642e-07,1.44071810019077e-07,4.37092907324513e-07,5.89254350027886,1035,876
90,1.47619310598298e-06,4.50946703175432e-07,1.40513336324178e-07,4.32079866108164e-07,5.83861528091427,1035,876
91,1.46507300128188e-06,4.44374398845531e-07,1.37357012863655e-07,4.27284484347341e-07,5.78566475704315,1035,876
92,1.45453740694429e-06,4.38446364281901e-07,1.34547179166615e-07,4.22681128516724e-07,5.73366559261819,1035,876
93,1.44451141216097e-06,4.33078232503361e-07,1.32033407369501e-07,4.18248339932197e-07,5.6825923884677,1035,876
94,1.43493179929901e-06,4.28239283143003e-07,1.29894556024012e-07,4.1384731678692e-07,5.63242063435973,1035,876
95,1.4256382512014e-06,4.23952356861134e-07,1.27905900469437e-07,4.09690981805579e-07,5.5831271673643,1035,876
96,1.41702971465059e-06,4.19940027486321e-07,1.26055751174385e-07,4.05683119760996e-07,5.53468834540274,1035,876
97,1.40866907316627e-06,4.16173704571812e-07,1.24367723591294e-07,4.01765492214743e-07,5.48708228870089,1035,876
98,1.4004672379931e-06,4.12673045226353e-07,1.22826889209619e-07,3.97944850062773e-07,5.44028793504094,1035,876
99,1.39254004025403e-06,4.09402278273924e-07,1.21409068264427e-07,3.94206059720643e-07,5.39428469852442,1035,876
100,1.38485753784589e-06,4.06363323337525e-07,1.20108308386068e-07,3.90550479225972e-07,5.34905265624627,1035,876
101,1.37741010843409e-06,4.03525821969044e-07,1.18907933279007e-07,3.86974002042986e-07,5.30457259556829,1035,876
102,1.37016990397794e-06,4.00861417949345e-07,1.17793962032457e-07,3.83471741918973e-07,5.26082592058515,1035,876
103,1.3631098761494e-06,3.98349807188229e-07,1.16755130366796e-07,3.8004086013097e-07,5.21779464787323,1035,876
104,1.35621707623967e-06,3.95975437418283e-07,1.15781609492546e-07,3.76678548739091e-07,5.1754613767713,1035,876
105,1.34949238413469e-06,3.93764387097928e-07,1.14878040971151e-07,3.73367155673109e-07,5.13380927337744,1035,876
106,1.34298290460428e-06,3.91674686805805e-07,1.14063201172514e-07,3.70081040963423e-07,5.09282178174135,1035,876
107,1.33672184565974e-06,3.8972888173261e-07,1.13302217532882e-07,3.66860612290921e-07,5.0524829417252,1035,876
108,1.33052254167782e-06,3.87886834178188e-07,1.12582122386613e-07,3.63698970200888e-07,5.01277837307759,1035,876
109,1.32442395975668e-06,3.8612827606153e-07,1.11893495507845e-07,3.60596588763822e-07,4.97369282224838,1035,876
110,1.31842503004533e-06,3.84436340223616e-07,1.11230896235027e-07,3.57550017224814e-07,4.93521180700213,1035,876
111,1.31252342830072e-06,3.82796615630245e-07,1.10590335930715e-07,3.54556163843079e-07,4.89732146802282,1035,876
112,1.30672024196013e-06,3.81201901583065e-07,1.0996940803321e-07,3.51613506834878e-07,4.86000833600406,1035,876
113,1.30101470753247e-06,3.79647149733127e-07,1.0936651915252e-07,3.48720924078921e-07,4.82325932992035,1035,876
114,1.29540217303612e-06,3.78128280104369e-07,1.08780524901459e-07,3.45877325839567e-07,4.78706175868513,1035,876
115,1.28987977511777e-06,3.76642640177394e-07,1.08210555143366e-07,3.43081695568751e-07,4.75140330837587,1035,876
116,1.28444770296149e-06,3.75185527401221e-07,1.07654016617841e-07,3.4033512210903e-07,4.71627201994227,1035,876
117,1.27910906788774e-06,3.73754651921511e-07,1.07111178448878e-07,3.37634963354612e-07,4.68165628499548,1035,876
118,1.27385648572645e-06,3.7234992151539e-07,1.06582546270295e-07,3.34978920969853e-07,4.64754485158619,1035,876
119,1.26869175535555e-06,3.70971130129342e-07,1.06067579937016e-07,3.32366307898245e-07,4.61392678745585,1035,876
120,1.26360840101972e-06,3.72424080881606e-07,1.05565603963269e-07,3.31570071630304e-07,4.58079146643297,1035,876
121,1.25650683614858e-06,3.74070469792774e-07,1.05138833687877e-07,3.30379848049686e-07,4.54812532281073,1035,876
122,1.24918215939573e-06,3.74210572770291e-07,1.04753958547584e-07,3.28445500414104e-07,4.51592229889343,1035,876
123,1.24276729915262e-06,3.73700401325437e-07,1.0439534889424e-07,3.26254421589031e-07,4.48417382025593,1035,876
124,1.23731847906395e-06,3.7290242324759e-07,1.04041475064676e-07,3.23984543504554e-07,4.45286903037299,1035,876
125,1.23229497999634e-06,3.71945244817424e-07,1.03678525132046e-07,3.21690785468244e-07,4.42199823631108,1035,876
126,1.22751200728894e-06,3.70896813577252e-07,1.03302847087517e-07,3.19397444245896e-07,4.39155245294785,1035,876
127,1.22290087133261e-06,3.69797423269029e-07,1.02915047644079e-07,3.17116559281974e-07,4.36152296384557,1035,876
128,1.21841694182165e-06,3.68670544589119e-07,1.02517391724113e-07,3.14853455946809e-07,4.33190128598903,1035,876
129,1.21403239628144e-06,3.67539836984037e-07,1.02112462097519e-07,3.12610700432521e-07,4.30267916765433,1035,876
130,1.20972981459022e-06,3.6641690999832e-07,1.01702661753306e-07,3.10389523335014e-07,4.27384857991945,1035,876
