"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out","flow_n_in","transfers_in","transfers_in%","diff_in","err_in%","flow_n_out","transfers_out","transfers_out%","diff_out","err_out%"
"S68_R_MARIO_O","Marionnettes",68,"R",3624.1965,2204.948,96.6716456348184,18.7991233,3688.392603,2140.751897,3717.385,0,0,28.992,0.786,2134.741,0,0,-6.011,-0.281
"S68_R_CDESO_O","Corsy-Dessous",68,"R",1849.1614,1210.5957,119.130096078941,32.641128,1913.357503,1146.399597,1928.381,0,0,15.023,0.785,1143.181,0,0,-3.219,-0.281
"S68_R_CONVE_S","La Conversion, Gare",68,"R",3054.0093,9020.559,46.8718976215098,56.8465334,3118.205403,8956.362897,3142.119,0,0,23.914,0.767,8931.216,0,0,-25.147,-0.281
"S68_R_COLLI_S","Colline",68,"R",1335.3533,1216.729,29.7460378817163,9.202818,1399.549403,1152.532897,1410.237,0,0,10.688,0.764,1149.297,0,0,-3.236,-0.281
"S68_R_WLIAM_S","Avenue William",68,"R",1279.7708,1274.0532,30.2511915496586,10.0646824,1343.966903,1209.857097,1354.184,0,0,10.217,0.76,1206.46,0,0,-3.397,-0.281
"S68_R_ORZEN_S","Orzens",68,"R",1255.9786,1302.5985,68.4977089242854,10.2750225,1320.174703,1238.402397,1329.834,0,0,9.659,0.732,1214.271,20.71,1.672,-3.421,-0.276
"S68_R_CHAMP_S","Les Champs",68,"R",189.99675,4387.479,149.467065868263,30.2215877,254.192853,4323.282897,256.177,0,0,1.984,0.781,4059.552,252.276,5.835,-11.455,-0.265
"S68_R_VOISD_E","Voisinand",68,"R",605.8032,2333.8318,88.1952662721893,33.1056307,669.999303,2269.635697,675.238,0,0,5.239,0.782,2263.263,0,0,-6.373,-0.281
"S68_R_LYGAR_C","Lutry, gare",68,"R",3.883266,2371.2393,NA,13.3116371,3.883266,2307.043197,3.89,0,0,0.007,0.18,2300.566,0,0,-6.477,-0.281
"S69_A_LPORT_B","Lutry, Port",69,"A",2854.9438,0,177.805832502493,1167.4384986,2824.440302,0,2829.581,0,0,5.141,0.182,0,0,NA,0,NA
"S69_A_CHAMP_N","Les Champs",69,"A",2732.0396,215.34111,45.0521609538003,46.7163509,2701.536102,245.844608,2706.454,0,0,4.918,0.182,245.154,0,0,-0.691,-0.281
"S69_A_LYGAR_E","Lutry, gare",69,"A",2685.7288,237.58731,84.0284175889919,26.453784,2655.225302,268.090808,2660.058,0,0,4.833,0.182,267.338,0,0,-0.753,-0.281
"S69_A_SAVUI_N","Savuit-Place",69,"A",201.07323,1063.8862,52.0917248255234,17.277667,170.569732,1094.389698,170.88,0,0,0.31,0.182,1091.317,0,0,-3.073,-0.281
"S69_A_BRELA_N","Brélaz",69,"A",207.32709,1916.5677,103.511812981845,16.6474695,176.823592,1947.071198,177.145,0,0,0.321,0.182,1941.604,0,0,-5.467,-0.281
