"","code_arret_theo","libelle_arret_theo2","code_ligne_theo","direction_voy_theo","sequence_theo","montees","descentes"
"320","MTETN_O","Montétan",9,"A",23,64340.383,271917.94
"321","VALCY_O","Valency",9,"A",24,14194.541,134724.83
"322","HUTIN_O","Huttins",9,"A",26,9452.073,135316.58
"323","PRY-C_O","Prilly, Centre",9,"A",27,66065.336,287885.44
"324","PEREA_O","Perréaz",9,"A",28,2808.9019,69274.516
"325","PRY_B  ","Prilly, Eglise",9,"A",29,0,233771.97
"326","PRY_B  ","Prilly, Eglise",9,"R",1,234702.17,0
"327","PEREA_E","Perréaz",9,"R",2,67518.88,3575.084
"328","PRY-C_E","Prilly, Centre",9,"R",3,216598.77,52632.99
"329","HUTIN_E","Huttins",9,"R",4,223527.94,16681.99
"330","VALCY_E","Valency",9,"R",6,146425.08,24356.697
"331","MTETN_E","Montétan",9,"R",7,296898.53,79249.164
"332","SPAUL_E","St-Paul",9,"R",8,99162.53,44776.188
"333","BOST_S ","Boston",9,"R",9,37944.383,109307.92
"334","CH_E   ","Chauderon",9,"R",10,224198.34,234875.61
"335","B-AIR_C","Bel-Air",9,"R",11,388447.25,449972.3
"336","SF_P   ","St-François",9,"R",12,560905.1,320699.78
"337","GTE_E  ","Georgette",9,"R",13,305112.2,92494.04
"338","EGLAN_E","Eglantine",9,"R",14,38089.457,127445
"339","LEMAN_E","Avenue du Léman",9,"R",15,18849.176,73888.016
"340","ESPER_E","Bonne-Espérance",9,"R",16,33867.19,228452.19
"341","PDETT_E","Perraudettaz",9,"R",18,51115.992,218511.83
"342","MTILL_D","Montillier",9,"R",19,11895.675,105452.83
"343","CLERG_E","Pully, Clergère",9,"R",20,103745.53,207991.1
"344","REYM_E ","Reymondin",9,"R",21,13054.704,55641.92
"345","MLINS_E","Moulins",9,"R",22,11181.902,123366.25
"346","PAUDX_E","Paudex, Village",9,"R",24,16154.699,57467.617
"347","MARRO_E","Marronnier",9,"R",25,7992.423,77518.24
"348","GPONT_E","Grand-Pont",9,"R",27,6027.405,115377.734
"349","VOISD_E","Voisinand",9,"R",28,8369.201,157932.4
"350","RIVE_E ","Rive",9,"R",29,2670.5635,49108.637
"351","LUTRY_B","Lutry, Corniche",9,"R",30,0,104020.305
"352","FAVER_E","Faverges",12,"A",1,266433.12,2.0003884
"353","CAP_E  ","Chemin du Cap",12,"A",2,104976.39,30875.215
"354","ESPER_O","Bonne-Espérance",12,"A",3,44406.645,15661.641
"355","LEMAN_O","Avenue du Léman",12,"A",4,18178.338,8268.117
"356","EGLAN_O","Eglantine",12,"A",5,36614.71,18482.502
"357","GTE_O  ","Georgette",12,"A",6,14784.793,90484.125
"358","SF_B   ","St-François",12,"A",7,4737.7866,283360.44
"359","MBNON_B","Montbenon",12,"A",8,0,122850.43
"360","MBNON_B","Montbenon",12,"R",1,114743.58,0
"361","SF_P   ","St-François",12,"R",2,143779.75,9398.555
"362","GTE_E  ","Georgette",12,"R",3,94838.33,8673.584
"363","EGLAN_E","Eglantine",12,"R",4,4957.3574,28123.705
"364","LEMAN_E","Avenue du Léman",12,"R",5,1477.6514,18387.318
"365","ESPER_S","Bonne-Espérance",12,"R",6,14692.835,65846.18
"366","TRAB_E ","Trabandan",12,"R",7,18589.918,37819.04
"367","FAVER_E","Faverges",12,"R",8,0,144978.56
"368","MBNON_B","Montbenon",13,"A",1,58971.312,0
"369","SF_P   ","St-François",13,"A",2,84149.68,6935.1914
"370","BENJC_N","Benj. Constant",13,"A",3,13983.393,12670.988
"371","MREPO_E","Mon Repos",13,"A",4,2484.0042,14591.297
"372","CHAND_E","Chandolin",13,"A",5,4411.5967,65695.42
"373","MOUSQ_E","Mousquines",13,"A",6,2173.7876,32768.316
"374","FREYR_E","Floreyres",13,"A",7,600.4829,8517.186
"375","VDEIL_B","Verdeil",13,"A",8,0,25595.883
"376","VDEIL_B","Verdeil",13,"R",1,16752.533,0
"377","FREYR_O","Floreyres",13,"R",2,4065.6326,59.800003
"378","MOUSQ_O","Mousquines",13,"R",3,17761.555,101.60003
"379","CHAND_O","Chandolin",13,"R",4,54811.38,899.5996
"380","MREPO_O","Mon Repos",13,"R",5,5353.792,1558.8027
"381","BENJC_S","Benj. Constant",13,"R",6,3271.6914,13653.904
"382","SF_B   ","St-François",13,"R",7,1494.6028,55014.203
"383","MBNON_B","Montbenon",13,"R",8,0,32223.281
"384","PROVN_O","Provence nord",16,"A",1,108015.586,0
"385","VJEUN_S","Vallée de la Jeunesse",16,"A",2,31059.906,1806.5537
"386","PROVS_E","Provence sud",16,"A",3,60916.457,12475.737
"387","COTAG_E","Cottages",16,"A",4,63497.516,11417.875
"388","MTELY_E","Montelly",16,"A",5,83109.375,10530.486
"389","BLVDR_E","Belvédère",16,"A",6,52306.008,11994.7705
"390","TIVOL_E","Tivoli",16,"A",7,24087.281,53547.6
"391","CH_E   ","Chauderon",16,"A",8,89164.42,113838.83
"392","B-AIR_C","Bel-Air",16,"A",9,110166.17,101279.164
"393","SF_P   ","St-François",16,"A",10,116198.3,93148.19
"394","BENJC_N","Benj. Constant",16,"A",11,19465.035,41735.99
"395","PBESS_N","Pont Bessières",16,"A",12,64846.94,31473.637
"396","VIRET_N","Pierre Viret",16,"A",13,18735.422,6434.6406
"397","TNEL_U ","Tunnel",16,"A",14,34695.137,7499.407
"398","BARRE_N","Barre",16,"A",15,22511.672,50649.188
"399","VULLM_N","Vulliemin",16,"A",16,3814.8481,25036.436
"400","PCHAT_N","Petit Château",16,"A",17,1963.7424,16073.324
"401","HERMI_N","Hermitage",16,"A",18,14936.93,89193.38
"402","LISIE_N","Lisière",16,"A",19,4613.9497,46303.46
"403","SIGNA_N","Signal",16,"A",20,4951.3857,33968.992
"404","CHOCO_N","Chocolatière",16,"A",21,215.53813,2275.3125
