"it_algo","diff_f","diff_g","error_in","error_out","max_diff_flow","couple_1","couple_2"
184,1.42767184647816e-06,2.68095555661873e-07,6.39860125514634e-08,2.21022532133059e-07,2.70859796719486,1035,876
185,1.42027786414232e-06,2.67213109152599e-07,6.39479736178429e-08,2.19245266373158e-07,2.69384627533873,1035,876
186,1.41287626518973e-06,2.67494870438915e-07,6.38636083200523e-08,2.18396549322604e-07,2.67925630286794,1035,876
187,1.40499908972903e-06,2.69541528382337e-07,6.38182211964365e-08,2.17804428080595e-07,2.66482209574656,1035,876
188,1.39721983518511e-06,2.69343936424993e-07,6.38209255198536e-08,2.16155368961214e-07,2.65054162147266,1035,876
189,1.38989976568379e-06,2.68525085314228e-07,6.37834641552862e-08,2.14428995067048e-07,2.63641488966186,1035,876
190,1.3827886016308e-06,2.67624202511508e-07,6.3711429456768e-08,2.1277027055653e-07,2.62243833637615,1035,876
191,1.37586651237549e-06,2.6671914624019e-07,6.36230597026854e-08,2.11145390167403e-07,2.60860902003395,1035,876
192,1.36908390458083e-06,2.65818314842617e-07,6.35278454073684e-08,2.09542349858542e-07,2.59492464122491,1035,876
193,1.36241818817817e-06,2.64923447876047e-07,6.34299873578832e-08,2.07957330219843e-07,2.58138294216025,1035,876
194,1.3558701968045e-06,2.64036213270219e-07,6.33312631429591e-08,2.06390330952124e-07,2.56798170258207,1035,876
195,1.34943830920828e-06,2.6315773350283e-07,6.3232506518634e-08,2.04841419293281e-07,2.55471874212213,1035,876
196,1.34311784811424e-06,2.62288759320732e-07,6.31341803199005e-08,2.03310541539088e-07,2.54159192921037,1035,876
197,1.33690201448097e-06,2.61429711054326e-07,6.30365593427125e-08,2.01797485343202e-07,2.52859917712118,1035,876
198,1.33079111674195e-06,2.60580793206079e-07,6.29398107015966e-08,2.00301999817943e-07,2.5157384425483,1035,876
199,1.32478704619217e-06,2.59742064370043e-07,6.28440329301644e-08,1.98823820941596e-07,2.50300772371179,1035,876
200,1.31888175903436e-06,2.58949844359328e-07,6.27492816873241e-08,1.97368094012448e-07,2.49040505922051,1035,876
201,1.31307244063009e-06,2.58217316819363e-07,6.26555318465587e-08,1.9593344160169e-07,2.47792851843224,1035,876
202,1.30736372991244e-06,2.57418486913324e-07,6.25630186171542e-08,1.94506118617823e-07,2.46557621710241,1035,876
203,1.30175660936511e-06,2.56627116376404e-07,6.24713526003553e-08,1.93093633489261e-07,2.45334632894208,1035,876
204,1.29622831256816e-06,2.60595492046417e-07,6.23806281569282e-08,1.95349226020026e-07,2.44123704348789,1035,876
