"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out"
"S6_A_OURS_E","Ours",6,"A",226915.81,140537.44,104.802874957606,47.1760025,227087.974123913,140365.275876087
"S6_A_BETHU_N","Béthusy",6,"A",32038.893,162888.05,43.7956691886251,36.0615168,32211.057123913,162715.885876087
"S6_A_ALLIE_N","Allières",6,"A",19149.318,94693.72,44.7031461963894,27.4972085,19321.482123913,94521.555876087
"S6_A_VROSS_N","Virgile-Rossel",6,"A",25892.5,126970.06,55.4675345003,28.5836638,26064.664123913,126797.895876087
"S6_A_VALNT_N","Vallonnette",6,"A",47079.69,169721.03,53.0856181358099,32.1926017,47251.854123913,169548.865876087
"S6_A_VRUFF_N","Victor-Ruffy",6,"A",3869.1743,43263.31,105.949976527046,21.8765815,4041.33842391304,43091.145876087
"S6_A_SALA_A","Sallaz",6,"A",464810.25,189801.03,95.4507845188285,65.008033,464982.414123913,189628.865876087
"S6_A_ST-ET_E","St-Etienne",6,"A",18554.377,40939.637,72.2292582130153,20.1564592,18726.541123913,40767.472876087
"S6_A_VALMT_E","Valmont",6,"A",42443.77,190130.06,62.5896094383551,33.320046,42615.934123913,189957.895876087
"S6_A_FOYER_E","Foyer",6,"A",9224.054,127628.11,80.2768156132273,30.4187878,9396.21812391304,127455.945876087
"S6_A_BOVRE_N","Boveresses",6,"A",9971.898,238812.89,45.2143230938301,30.9076496,10144.062123913,238640.725876087
"S6_A_PSECH_B","Praz-Séchaud",6,"A",0,311092.66,NA,12.0704118,0,310920.495876087
"S6_R_PSECH_B","Praz-Séchaud",6,"R",285332.9,0,94.8866119504417,376.9441932,285303.292289583,0
"S6_R_BOVRE_S","Boveresses",6,"R",219289.58,13973.685,62.4281905857139,34.2968007,219259.972289583,14003.2927104167
"S6_R_FOYER_O","Foyer",6,"R",101447.59,7277.79,67.0067952537766,23.2920206,101417.982289583,7307.39771041667
"S6_R_VALMT_O","Valmont",6,"R",214020.95,23600.932,81.5607410697954,31.7909937,213991.342289583,23630.5397104167
"S6_R_ST-ET_O","St-Etienne",6,"R",31431.955,29715.176,97.2997731361965,23.9799838,31402.3472895833,29744.7837104167
"S6_R_SALA_B","Sallaz",6,"R",166759.53,439965.84,89.6507352941177,65.2413101,166729.922289583,439995.447710417
"S6_R_VRUFF_S","Victor-Ruffy",6,"R",32928.715,7835.7256,54.3088595713615,22.0430225,32899.1072895833,7865.33331041666
"S6_R_VALNT_S","Vallonnette",6,"R",141871.78,39629.203,53.1238495032983,34.6556552,141842.172289583,39658.8107104167
"S6_R_VROSS_S","Virgile-Rossel",6,"R",99557.78,24664.764,45.8910124370975,29.4067739,99528.1722895833,24694.3717104167
"S6_R_ALLIE_S","Allières",6,"R",55944.734,19608.008,73.456543274244,25.6879775,55915.1262895833,19637.6157104167
"S6_R_BETHU_O","Béthusy",6,"R",81158.59,47030.043,83.5052664511419,36.6084463,81128.9822895833,47059.6507104167
"S6_R_OURS_O","Ours",6,"R",60284.984,101796.39,148.23789385752,52.7196006,60255.3762895833,101825.997710417
"S6_R_BESS_S","Bessières",6,"R",103182.19,143309.62,181.684566210046,68.9550213,103152.582289583,143339.227710417
"S6_R_SF_O","St-François",6,"R",138454.22,276938.25,145.732751867133,83.7573386,138424.612289583,276967.857710417
