"code_arret_theo","libelle_arret_theo","lat_arret","lon_arret"
"DTSOL  ","""Dépôt TSOL Dorigny""",46.52191,6.568961
"CAROU_S","""Carrouge VD, centre""",46.606613,6.776236
"PLY-G_1","""Pully, gare""",46.51031,6.658428
"SYENS_N","""Syens, Champ-du-Chêne""",46.643757,6.783773
"COPOP_S","""Coppoz-Poste""",46.557056,6.635479
"GTE_N  ","""Georgette""",46.517464,6.637944
"PLANC_N","""Planches""",46.544468,6.667857
"VEILL_N","""Veilloud""",46.531273,6.564678
"FROIC_N","""Froideville, croisée""",46.60125,6.679263
"TVIDY_O","""Théâtre de Vidy""",46.513985,6.611869
"SCBT_O ","""Stade de Coubertin""",46.515427,6.602582
"BRGES_E","""Berges""",46.527485,6.575597
"TNEL_U ","""Tunnel""",46.524673,6.634657
"WLIAM_N","""Avenue William""",46.509327,6.682208
"PBESS_S","""Pont Bessières""",46.520947,6.636719
"CIGAL_O","""Cigale""",46.54334,6.647091
"SALA_D ","""Sallaz""",46.533154,6.64698
"MORRE_O","""Morrens VD, Village""",46.5913,6.62637
"ROUVN_E","""Rouvène""",46.521397,6.674754
"PREAU_E","""Préau""",46.510147,6.657037
"MTETN_O","""Montétan""",46.530052,6.613213
"BUYE_N ","""Buyère""",46.550117,6.563552
"RTTAZ_N","""Rochettaz""",46.51433,6.663478
"BORJO_E","""Borjod""",46.539696,6.589
"MTILL_D","""Montillier""",46.512325,6.658634
"PQUI_N ","""Pâquis""",46.520226,6.67713
"VIRET_S","""Pierre Viret""",46.52313,6.63395
"ECCV_O ","""Ecublens VD, Café vaudois""",46.52963,6.561629
"CUGYP_S","""Cugy VD, poste""",46.58376,6.638787
"STAND_S","""Stand""",46.532658,6.562427
"PMONT_S","""Petit-Mont""",46.554306,6.634672
"E-HOT_N","""Ecole Hôtelière""",46.561485,6.68213
"BVE_O  ","""Bellerive""",46.512093,6.616615
"RUISE_O","""Ruisselet""",46.51286,6.664516
"VULET_N","""Vulliette""",46.558376,6.681104
"TVIDY_E","""Théâtre de Vidy""",46.513626,6.612226
"PERET_E","""Perrettes""",46.526363,6.558541
"LION_S ","""Lion d'Or""",46.551697,6.680233
"BUDR_N ","""Le Mont-s-L., Budron""",46.575706,6.633597
"MARTI_N","""Martines""",46.546776,6.631981
"CNIER_E","""Châtaignier""",46.506424,6.654615
"SCBT_E ","""Stade de Coubertin""",46.515366,6.603091
"PSPOR_N","""Place de Sport""",46.535206,6.564067
"RCFFS_B","""Renens-Gare sud""",46.53621,6.580112
"VBOIS_N","""Vert-Bois""",46.56277,6.687407
"CNAX_E ","""Grandvaux, Chenaux""",46.49544,6.727239
"CDRAI_B","""Coudraie""",46.539787,6.609818
"SEGLI_E","""Sous l'Eglise""",46.53488,6.588775
"BLECH_E","""Blécherette""",46.542217,6.621032
"VRUFF_N","""Victor-Ruffy""",46.53192,6.64847
"VELOD_N","""Parc Vélodrome""",46.536217,6.623704
"FAVER_E","""Faverges""",46.513832,6.645998
"GLYCI_O","""Glycines""",46.535988,6.575422
"PSPOR_S","""Place de Sport""",46.535328,6.563687
"OURS_E ","""Ours""",46.521244,6.640898
"MLEYO_O","""Malley-Ouest""",46.524136,6.601235
"CDRY_N ","""Caudray""",46.53148,6.585062
"ROVER_E","""Lausanne, Rovéréaz""",46.532726,6.667725
"GENOU_O","""Bois-Genoud""",46.54652,6.583599
"SALA_Z ","""Sallaz""",46.533134,6.647162
"STCAT_N","""Lausanne, Ste-Catherine""",46.571045,6.709011
"GGETT_N","""Grangette""",46.541664,6.633126
"JDILS_N","""Jordils""",46.510227,6.628552
"SROCH_S","""St-Roch""",46.525276,6.625889
"BETHA_N","""Béthanie""",46.534668,6.61339
"CROIS_C","""Epalinges, Croisettes""",46.543213,6.661656
"P-RIV_O","""Parc Rivier""",46.536327,6.61532
"TNEL_E ","""Tunnel""",46.52554,6.634892
"FLIEU_E","""Follieu""",46.539574,6.592939
"SIGNA_N","""Signal""",46.532677,6.640625
